"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2019","5,567.91","5,584.13","5,611.28","5,567.91","72.84M","0.52%"
"Jun 28, 2019","5,538.97","5,491.17","5,545.06","5,486.28","80.40M","0.83%"
"Jun 27, 2019","5,493.61","5,508.38","5,511.22","5,465.62","70.58M","-0.13%"
"Jun 26, 2019","5,500.72","5,504.67","5,531.45","5,497.22","74.38M","-0.25%"
"Jun 25, 2019","5,514.57","5,499.82","5,523.57","5,499.65","69.69M","-0.13%"
"Jun 24, 2019","5,521.71","5,534.35","5,547.11","5,514.14","71.22M","-0.12%"
"Jun 21, 2019","5,528.33","5,534.43","5,582.24","5,518.39","186.45M","-0.13%"
"Jun 20, 2019","5,535.57","5,551.03","5,564.13","5,535.57","94.35M","0.31%"
"Jun 19, 2019","5,518.45","5,513.32","5,521.81","5,496.54","96.95M","0.16%"
"Jun 18, 2019","5,509.73","5,386.38","5,516.06","5,376.12","115.58M","2.20%"
"Jun 17, 2019","5,390.95","5,370.76","5,408.75","5,368.07","61.98M","0.43%"
"Jun 14, 2019","5,367.62","5,367.10","5,369.38","5,342.15","67.56M","-0.15%"
"Jun 13, 2019","5,375.63","5,361.60","5,392.51","5,353.11","71.45M","0.01%"
"Jun 12, 2019","5,374.92","5,379.15","5,394.85","5,358.81","73.50M","-0.62%"
"Jun 11, 2019","5,408.45","5,382.88","5,431.54","5,381.31","85.09M","0.48%"
"Jun 10, 2019","5,382.50","5,382.29","5,397.35","5,369.82","45.85M","0.34%"
"Jun 07, 2019","5,364.05","5,299.71","5,389.95","5,299.71","88.15M","1.62%"
"Jun 06, 2019","5,278.43","5,293.72","5,332.69","5,264.62","100.76M","-0.26%"
"Jun 05, 2019","5,292.00","5,271.26","5,306.83","5,265.60","85.57M","0.45%"
"Jun 04, 2019","5,268.26","5,204.22","5,278.91","5,191.61","104.12M","0.51%"
"Jun 03, 2019","5,241.46","5,171.61","5,241.46","5,152.30","85.04M","0.65%"
"May 31, 2019","5,207.63","5,198.76","5,208.07","5,160.91","95.54M","-0.79%"
"May 30, 2019","5,248.91","5,241.95","5,258.05","5,229.74","55.59M","0.51%"
"May 29, 2019","5,222.12","5,249.27","5,252.52","5,203.81","99.89M","-1.70%"
"May 28, 2019","5,312.69","5,343.30","5,351.09","5,300.80","127.34M","-0.44%"
"May 27, 2019","5,336.19","5,341.39","5,364.22","5,323.17","56.83M","0.37%"
"May 24, 2019","5,316.51","5,307.80","5,337.66","5,302.52","89.06M","0.67%"
"May 23, 2019","5,281.37","5,335.12","5,340.38","5,272.78","98.23M","-1.81%"
"May 22, 2019","5,378.98","5,381.69","5,399.72","5,345.28","71.57M","-0.12%"
"May 21, 2019","5,385.46","5,373.01","5,394.91","5,350.13","81.73M","0.50%"
"May 20, 2019","5,358.59","5,425.30","5,438.60","5,333.31","91.53M","-1.46%"
"May 17, 2019","5,438.23","5,428.17","5,450.65","5,401.66","99.76M","-0.18%"
"May 16, 2019","5,448.11","5,365.37","5,448.11","5,346.54","92.43M","1.37%"
"May 15, 2019","5,374.26","5,348.34","5,374.26","5,297.30","106.74M","0.62%"
"May 14, 2019","5,341.35","5,292.08","5,341.35","5,288.92","89.06M","1.50%"
"May 13, 2019","5,262.57","5,332.30","5,334.06","5,247.66","90.32M","-1.22%"
"May 10, 2019","5,327.44","5,353.50","5,372.25","5,312.01","85.11M","0.27%"
"May 09, 2019","5,313.16","5,358.10","5,363.77","5,307.06","99.32M","-1.93%"
"May 08, 2019","5,417.59","5,388.72","5,426.32","5,378.18","78.54M","0.40%"
"May 07, 2019","5,395.75","5,478.55","5,490.33","5,387.99","96.69M","-1.60%"
"May 06, 2019","5,483.52","5,450.83","5,489.54","5,422.59","79.62M","-1.18%"
"May 03, 2019","5,548.84","5,537.46","5,563.12","5,535.58","69.63M","0.18%"
"May 02, 2019","5,538.86","5,568.20","5,573.16","5,537.99","95.30M","-0.85%"
"Apr 30, 2019","5,586.41","5,570.43","5,586.41","5,553.10","95.05M","0.10%"
"Apr 29, 2019","5,580.98","5,567.09","5,593.60","5,547.12","69.29M","0.21%"
"Apr 26, 2019","5,569.36","5,570.07","5,575.25","5,546.82","77.76M","0.21%"
"Apr 25, 2019","5,557.67","5,569.21","5,571.86","5,538.30","78.23M","-0.33%"
"Apr 24, 2019","5,576.06","5,581.16","5,597.60","5,557.21","86.81M","-0.28%"
"Apr 23, 2019","5,591.69","5,577.52","5,596.21","5,564.94","89.75M","0.20%"
"Apr 18, 2019","5,580.38","5,548.66","5,601.38","5,527.94","108.89M","0.31%"
"Apr 17, 2019","5,563.09","5,528.01","5,569.28","5,522.61","89.42M","0.62%"
"Apr 16, 2019","5,528.67","5,510.72","5,532.31","5,503.35","78.38M","0.36%"
"Apr 15, 2019","5,508.73","5,501.51","5,518.37","5,497.53","69.49M","0.11%"
"Apr 12, 2019","5,502.70","5,478.95","5,510.99","5,474.36","84.27M","0.31%"
"Apr 11, 2019","5,485.72","5,474.33","5,498.89","5,446.20","77.56M","0.66%"
"Apr 10, 2019","5,449.88","5,442.68","5,461.34","5,440.32","72.99M","0.25%"
"Apr 09, 2019","5,436.42","5,453.00","5,491.85","5,436.42","71.06M","-0.65%"
"Apr 08, 2019","5,471.78","5,471.74","5,486.63","5,462.38","60.27M","-0.08%"
"Apr 05, 2019","5,476.20","5,469.34","5,486.00","5,464.85","79.97M","0.23%"
"Apr 04, 2019","5,463.80","5,460.83","5,474.41","5,448.40","71.96M","-0.09%"
"Apr 03, 2019","5,468.91","5,458.02","5,473.92","5,451.44","90.47M","0.84%"
"Apr 02, 2019","5,423.47","5,409.68","5,433.51","5,403.44","69.23M","0.33%"
"Apr 01, 2019","5,405.53","5,394.50","5,414.53","5,376.18","79.57M","1.03%"
"Mar 29, 2019","5,350.53","5,334.56","5,356.07","5,315.11","81.49M","1.02%"
"Mar 28, 2019","5,296.54","5,299.03","5,327.73","5,291.64","76.68M","-0.09%"
"Mar 27, 2019","5,301.24","5,312.70","5,340.05","5,279.65","95.76M","-0.12%"
"Mar 26, 2019","5,307.38","5,271.14","5,315.29","5,257.79","66.78M","0.89%"
"Mar 25, 2019","5,260.64","5,211.76","5,276.74","5,211.76","80.00M","-0.18%"
"Mar 22, 2019","5,269.92","5,394.46","5,398.47","5,264.13","112.73M","-2.03%"
"Mar 21, 2019","5,378.85","5,378.41","5,393.33","5,349.00","77.95M","-0.07%"
"Mar 20, 2019","5,382.66","5,417.21","5,429.44","5,382.66","83.31M","-0.80%"
"Mar 19, 2019","5,425.90","5,406.23","5,443.10","5,403.58","72.89M","0.24%"
"Mar 18, 2019","5,412.83","5,403.54","5,416.49","5,401.47","73.39M","0.14%"
"Mar 15, 2019","5,405.32","5,352.88","5,421.51","5,351.88","220.25M","1.04%"
"Mar 14, 2019","5,349.78","5,308.75","5,358.41","5,308.75","83.17M","0.82%"
"Mar 13, 2019","5,306.38","5,263.01","5,309.77","5,261.89","74.26M","0.69%"
"Mar 12, 2019","5,270.25","5,290.94","5,294.83","5,245.76","82.11M","0.08%"
"Mar 11, 2019","5,265.96","5,253.49","5,268.59","5,230.16","74.18M","0.66%"
"Mar 08, 2019","5,231.22","5,233.97","5,252.35","5,221.03","102.97M","-0.70%"
"Mar 07, 2019","5,267.92","5,282.14","5,306.09","5,249.32","103.55M","-0.39%"
"Mar 06, 2019","5,288.81","5,288.40","5,314.97","5,281.95","19.09M","-0.16%"
"Mar 05, 2019","5,297.52","5,288.55","5,297.99","5,267.57","76.56M","0.21%"
"Mar 04, 2019","5,286.57","5,291.13","5,310.64","5,283.35","65.30M","0.41%"
"Mar 01, 2019","5,265.19","5,267.14","5,286.69","5,262.47","91.05M","0.47%"
"Feb 28, 2019","5,240.53","5,204.77","5,247.55","5,204.77","114.24M","0.29%"
"Feb 27, 2019","5,225.35","5,218.12","5,236.83","5,211.54","89.56M","-0.26%"
"Feb 26, 2019","5,238.72","5,212.86","5,248.50","5,197.29","76.92M","0.13%"
"Feb 25, 2019","5,231.85","5,228.25","5,242.22","5,219.39","74.50M","0.31%"
"Feb 22, 2019","5,215.85","5,190.94","5,226.80","5,190.28","77.54M","0.38%"
"Feb 21, 2019","5,196.11","5,200.12","5,206.38","5,180.62","98.10M","0.00%"
"Feb 20, 2019","5,195.95","5,168.59","5,202.90","5,159.06","77.03M","0.69%"
"Feb 19, 2019","5,160.52","5,162.31","5,176.41","5,137.17","69.58M","-0.16%"
"Feb 18, 2019","5,168.54","5,149.06","5,170.96","5,147.81","62.70M","0.30%"
"Feb 15, 2019","5,153.19","5,061.54","5,164.58","5,059.50","113.88M","1.79%"
"Feb 14, 2019","5,062.52","5,117.79","5,117.79","5,062.52","92.80M","-0.23%"
"Feb 13, 2019","5,074.27","5,071.54","5,092.19","5,061.60","87.35M","0.35%"
